song group key,title,artist,energy level,vocal intensity,genre primary,genre secondary,sing along
ABC:A:America:LonelyPeople,Lonely People,America,3,FULL,Soft Rock,,false
ABC:A:America:TodaysTheDay,Today's The Day,America,2,FULL,Soft Rock,,false
ABC:A:America:VenturaHighway,Ventura Highway,America,4,FULL,Folk Rock,,false
ABC:A:America:YouCanDoMagic,You Can Do Magic,America,5,FULL,Soft Rock,Pop,false
ABC:A:AmosLee:SweetPea,Sweet Pea,Amos Lee,3,FULL,Folk,Singer-Songwriter,false
ABC:A:AmyWinehouse:Valerie,Valerie,Ami Winehouse,7,FULL,Soul,Pop,true
ABC:A:AnneMurray:ShadowsInTheMoonlight,Shadows In The Moonlight,Anne Murray,5,FULL,Country,,false
ABC:A:ArethaFranklin:BabyILoveYou,Babay I Love You,Aretha Franklin,6,FULL,Soul,,false
ABC:A:ArloGuthrie:CityOfNewOrleans,City of New Orleans,Arlo Guthrie,3,FULL,Folk,,false
ABC:A:AvrilLavigne:Complicated,Complicated,Avril Lavigne,7,FULL,Pop Rock,,true
ABC:B:BachmanTurnerOverdrive:TakinCareOfBusiness,Takin' Care of Business,Bachman Turner Overdrive (BTO),8,FULL,Rock,,true
ABC:B:BadEnglish:WhenISeeYouSmile,When I See You Smile,Bad English,3,FULL,Rock,Ballad,false
ABC:B:Band:Evangeline,Evangeline,The Band,5,FULL,Roots Rock,Country Rock,false
ABC:B:Bangles:EternalFlame,Eternal Flame,The Bangles,3,FULL,Pop,,false
ABC:B:BarrettStrong:Money,Money (That's What I Want),Barrett Strong,7,FULL,Motown,R&B,true
ABC:B:BayCityRollers:YouMadeMeBelieveInMagic,You Made Me Believe In Magic,Bay City Rollers,6,FULL,Pop,,false
ABC:B:BeachBoys:BeTrueToYourSchool,Be True to Your School,The Beach Boys,7,FULL,Pop,Surf Rock,false
ABC:B:BeachBoys:DoItAgain,Do It Again,Beach Boys,7,FULL,Pop,Surf Rock,false
ABC:B:BeachBoys:Forever,Forever,Dennis Wilson / Beach Boys,2,FULL,Pop,Ballad,false
ABC:B:BeachBoys:FunFunFun,"Fun, Fun, Fun",Beach Boys,8,FULL,Surf Rock,,true
ABC:B:Beatles:GoldenSlumbers-CarryThatWeight,Golden Slumbers / Carry That Weight,Beatles,5,FULL,Rock,Pop,false
ABC:B:Beatles:HereComesTheSun,Here Comes The Sun,The Beatles,5,FULL,Pop Rock,,true
ABC:B:Beatles:HereComesTheSun-c-jeff,Here Comes The Sun,The Beatles,5,FULL,Pop Rock,,true
ABC:B:Beatles:PleaseMrPostman,Please Mr. Postman,The Beatles,7,FULL,Pop,Motown,false
ABC:B:Beatles:RealLove,Real Love,The Beatles,4,FULL,Pop,,false
ABC:B:Beatles:TwistAndShout,Twist & Shout,Beatles,9,FULL,Rock and Roll,,true
ABC:B:Beatles:YouWontSeeMe,You Wont See Me,The Beatles,5,FULL,Pop Rock,,false
ABC:B:BeeGees:FannyBeTenderWithMyLove,Fanny Be Tender With My Love,Bee Gees,3,FULL,Pop,Ballad,false
ABC:B:BeeGees:HowDeepIsYourLove,How Deep Is Your Love,Bee Gees,3,FULL,Pop,Disco,true
ABC:B:BeeGees:RunToMe,Run To Me,Bee Gees,3,FULL,Pop,Ballad,false
ABC:B:BellamyBrothers:IfISaidYouHaveABeautifulBody,If I Said You Have A Beautiful Body,Bellamy Brothers,6,FULL,Country,,true
ABC:B:BillWithers:AintNoSunshine,Ain't No Sunshine,Bill Withers,3,FULL,Soul,R&B,true
ABC:B:BillWithers:LovelyDay,Lovely Day,Bill Withers,5,FULL,Soul,,false
ABC:B:BillyCurrington:LetMeDownEasy,Let Me Down Easy,Billy Currington,3,FULL,Country,,false
ABC:B:BillyJoel:AllForLeyna,All For Leyna,Billy Joel,6,FULL,Rock,,false
ABC:B:BillyJoel:DontAskMeWhy,Don't Ask Me Why,Billy Joel,5,FULL,Pop Rock,,false
ABC:B:BillyJoel:MovinOut,Movin' Out,Billy Joel,7,FULL,Rock,,false
ABC:B:BillyJoel:MyLife,My Life,Billy Joel,7,FULL,Rock,,true
ABC:B:BillyJoel:PianoMan,Piano Man,Billy Joel,4,FULL,Rock,Pop,true
ABC:B:BillyJoel:PianoMan-old,Piano Man,Billy Joel,4,FULL,Rock,Pop,true
ABC:B:BillyJoel:SummerHighlandFalls,Summer Highland Falls,Billy Joel,3,FULL,Pop,Ballad,false
ABC:B:BillyJoel:TheStranger,The Stranger,Billy Joel,5,FULL,Rock,Pop,false
ABC:B:BillyJoel:Vienna,Vienna,Billy Joel,3,FULL,Pop,Ballad,false
ABC:B:BillyJoel:YouMayBeRight,You May Be Right,Billy Joel,7,FULL,Rock,,true
ABC:B:BillyJoel:YoureMyHome,You're My Home,Billy Joel,3,FULL,Pop,Country,false
ABC:B:BlackCrowes:Remedy,Remedy,The Black Crowes,7,FULL,Blues Rock,,false
ABC:B:BlakeShelton:Footloose,Footloose,Blake Shelton,8,FULL,Country,,true
ABC:B:Blasters:MarieMarie,Marie Marie,The Blasters,7,FULL,Rockabilly,,false
ABC:B:BluesBrothers:HeyBartender,Hey Bartender,Blues Brothers,6,FULL,Blues,,false
ABC:B:BobDylan:IShallBeReleased,I Shall Be Released,Bob Dylan,3,FULL,Folk,,false
ABC:B:BobDylan:LikeARollingStone,Like A Rolling Stone,Bob Dylan,6,FULL,Folk Rock,,true
ABC:B:BobDylan:MakeYouFeelMyLove,Make You Feel My Love,Bob Dylan,2,FULL,Ballad,,false
ABC:B:BobSeger:AgainstTheWind,Against the Wind,Bob Seger,4,FULL,Rock,,false
ABC:B:BobSeger:HollywoodNights,Hollywood Nights,Bob Seger,7,FULL,Rock,,false
ABC:B:BobSeger:StillTheSame,Still the Same,Bob Seger,5,FULL,Rock,,false
ABC:B:BobSeger:TurnThePage,Turn The Page,Bob Seger,4,FULL,Rock,,false
ABC:B:BobWelch:EbonyEyes,Ebony Eyes,Bob Welch,6,FULL,Pop Rock,,false
ABC:B:BobWelch:PreciousLove,Precious Love,Bob Welch,5,FULL,Rock,,false
ABC:B:BobWelch:SentimentalLady,Sentimental Lady,Bob Welch,3,FULL,Soft Rock,,false
ABC:B:BonnieRaitt:LoveSneakinUpOnYou,Love Sneakin' Up On You,Bonnie Raitt,6,FULL,Blues Rock,,false
ABC:B:Bread:Aubry,Aubrey,Bread,2,FULL,Soft Rock,Ballad,false
ABC:B:BrianWilson:LoveAndMercy,Love and Mercy,Brian Wilson,2,FULL,Pop,Ballad,false
ABC:B:BruceSpringsteen:CoverMe,Cover Me,Bruce Springsteen,8,FULL,Rock,,false
ABC:B:BruceSpringsteen:HugryHeart,Hungry Heart,Bruce Springsteen,7,FULL,Rock,,true
ABC:B:BrunoMars:Apt,Apt,Rose & Bruno Mars,8,FULL,Pop,,true
ABC:B:BrunoMars:DieWithASmile,Die With A Smile,"Bruno Mars, Lady Gaga",4,FULL,Pop,Ballad,false
ABC:B:BrunoMars:NothinOnYou,Nothin On You,Bruno Mars & B.o.B,7,FULL,Pop,R&B,true
ABC:C:CCR:HaveYouEverSeenTheRain,Have You Ever Seen The Rain,Creedence Clearwater Revival,5,FULL,Rock,,true
ABC:C:CSNY:JustASongBeforeIGo,Just A Song Before I Go,"Crosby, Stills, Nash and Young",3,FULL,Folk Rock,,false
ABC:C:CageTheElephant:CigaretteDaydreams,Cigarette Daydreams,Cage The Elephant,5,FULL,Alternative,,false
ABC:C:CaliforniaHoneydrops:InTheAir,In The Air,The California Honeydrops,6,FULL,Soul,Funk,false
ABC:C:CamilaCabello:Havana,Havana,Camila Cabello,7,FULL,Latin Pop,,true
ABC:C:CarlySimon:ComeAroundAgain,Come Around Again,Carly Simon,4,FULL,Pop,,false
ABC:C:CaroleKing:Chains,Chains,Carole King,6,FULL,Pop Rock,,false
ABC:C:CaroleKing:IFeelTheEarthMove,I Feel The Earth Move,Carole King,7,FULL,Pop Rock,,false
ABC:C:CaroleKing:WillYouLoveMeTomorrow,Will You Love Me Tomorrow,Carole King,2,FULL,Pop,Ballad,false
ABC:C:Carpenters:IWontLastADayWithoutYou,I Won't Last A Day Without You,Carpenters,2,FULL,Soft Pop,,false
ABC:C:Carpenters:TheresAKindOfHush,There's A Kind Of Hush,Carpenters,4,FULL,Soft Pop,,false
ABC:C:CarrieUnderwood:BeforeHeCheats,Before He Cheats,Carrie Underwood,8,FULL,Country Rock,,true
ABC:C:Cars:Drive,Drive,The Cars,3,FULL,New Wave,,false
ABC:C:Cars:Magic,Magic,The Cars,7,FULL,New Wave,Pop Rock,false
ABC:C:Cars:MyBestFriendsGirl,My Best Friend's Girl,The Cars,7,FULL,New Wave,Pop Rock,false
ABC:C:Cars:YouMightThink,You Might Think,The Cars,7,FULL,New Wave,,false
ABC:C:CatStevens:WildWorld,Wild World,Cat Stevens,4,FULL,Folk,,false
ABC:C:ChakaKhan:AintNobody,Ain't Nobody,Chaka Khan / Rufus,7,FULL,Funk,Soul,true
ABC:C:ChakaKhan:AintNobody-Guitar,Ain't Nobody - Guitar,Chaka Khan / Rufus,7,NONE,Funk,Soul,false
ABC:C:ChappellRoan:PinkPonyClub,Pink Pony Club,Chappell Roan,8,FULL,Pop,,true
ABC:C:CheapTrick:IWantYouToWantMe,I Want You To Want Me,Cheap Trick,7,FULL,Power Pop,,true
ABC:C:ChrisRea:FoolIfYouThinkItsOver,Fool If You Think It's Over,Chris Rea,4,FULL,Soft Rock,,false
ABC:C:ChrisStapleton:StartingOver,Starting Over,Chris Stapleton,4,FULL,Country,,false
ABC:C:ChristopherCross:RideLikeTheWind,Ride Like The Wind,Christopher Cross,5,FULL,Soft Rock,Yacht Rock,false
ABC:C:ChristopherCross:Sailing,Sailing,Christopher Cross,1,FULL,Soft Rock,Yacht Rock,false
ABC:C:ClintBlack:ABetterMan,A Better Man,Clint Black,4,FULL,Country,,false
ABC:C:ColdPlay:FixYou,Fix You,Cold Play,4,FULL,Alternative,Pop Rock,true
ABC:C:ColdPlay:SpeedOfSound,Speed Of Sound,Coldplay,6,FULL,Alternative,,false
ABC:C:Commodores:Easy,Easy,Commodores,2,FULL,Soul,Ballad,false
ABC:C:Commodores:SailOn,Sail On,Commodores,3,FULL,Soul,Soft Rock,false
ABC:C:ConnieFrancis:PrettyLittleBaby,Pretty Little Baby,Connie Francis,5,FULL,Pop,Oldies,false
ABC:C:ConnieFrancis:WhosSorryNow,Who's Sorry Now,Connie Francis,4,FULL,Pop,Oldies,false
ABC:C:CorrineBailyRae:PutYourRecordsOn,Put Your Records On,Corrine Bailey Rae,5,FULL,Soul,Pop,false
ABC:C:CountingCrows:AccidentallyInLove,Accidentally In Love,Counting Crows,7,FULL,Pop Rock,,true
ABC:C:CrowdedHouse:DontDreamItsOver,Don't Dream It's Over,Crowded House,4,FULL,Rock,,true
ABC:C:Cure:FridayImInLove,Friday I'm In Love,The Cure,7,FULL,Alternative,New Wave,true
ABC:C:Cure:JustLikeHeaven,Just Like Heaven,The Cure,7,FULL,Alternative,New Wave,false
ABC:C:CuttingCrew:DiedInYourArms,( I Just ) Died In Your Arms,Cutting Crew,6,FULL,Rock,,false
DEF:D:DanielBoone:BeautifulSunday,Beautiful Sunday,Daniel Boone,6,FULL,Pop,,false
DEF:D:DariusRucker:HoldMyHand,Hold My Hand,Hootie (Darius Rucker) and the Blowfish,7,FULL,Pop Rock,,true
DEF:D:DariusRucker:WagonWheel,Wagon Wheel,Darius Rucker,7,FULL,Country,Folk,true
DEF:D:DavidLeeMurphy:PartyCrowd,Party Crowd,David Lee Murphy,7,FULL,Country,,false
DEF:D:DelbertMcClinton:LeapOfFaith,Leap Of Faith,Delbert McClinton,5,FULL,Blues Rock,,false
DEF:D:DepecheMode:EnjoyTheSilence,Enjoy the Silence,Depeche Mode,5,FULL,Synth Pop,New Wave,false
DEF:D:DiamondRio:OneMoreDay,One More Day,Diamond Rio,3,FULL,Country,,false
DEF:D:DioneWarwick:HeartBreaker,Heartbreaker,Dionne Warwick / Bee Gees,7,FULL,Pop,Disco,false
DEF:D:DioneWarwick:ThenCameYou,Then Came You,Dionne Warwick,6,FULL,Soul,Pop,false
DEF:D:DixieChicks:LetErRip,Let 'Er Rip,Dixie Chicks,7,FULL,Country,,false
DEF:D:DixieChicks:SomeDaysYouGottaDance,Some Days You Gotta Dance,Dixie Chicks,7,FULL,Country,,false
DEF:D:DixieChicks:WideOpenSpaces,Wide Open Spaces,Dixie Chicks,6,FULL,Country,,true
DEF:D:DonHenley:TheEndOfTheInnocence,The End Of The Innocence,Don Henley,4,FULL,Rock,,false
DEF:D:DonMcLean:Vincent,Vincent,Don McLean,2,FULL,Folk,Ballad,false
DEF:D:DonnaSummer:HotStuff,Hot Stuff,Donna Summer,9,FULL,Disco,,true
DEF:D:DoobieBros:LongTrainRunning,Long Train Runnin',Doobie Brothers,8,FULL,Rock,,false
DEF:D:DoobieBros:LongTrainRunning-MVP,Long Train Runnin’,Doobie Brothers,8,FULL,Rock,,false
DEF:D:DoobieBros:TakinItToTheStreets,Takin' It To The Streets,Doobie Brothers,7,FULL,Rock,Soul,false
DEF:D:DrHook:SharingTheNightTogether,Sharing The Night Together,Dr. Hook,5,FULL,Soft Rock,,false
DEF:D:DuaLipa:Levitating,Levitating,Dua Lipa,9,FULL,Pop,Disco,true
DEF:D:DuaLipa:LoveAgain,Love Again,Dua Lipa,8,FULL,Pop,,false
DEF:D:DuranDuran:OrdinaryWorld,Ordinary World,Duran Duran,4,FULL,New Wave,Pop Rock,false
DEF:D:DwightYokam:AintThatLonelyYet,Ain't That Lonely Yet,Dwight Yoakam,6,FULL,Country,,false
DEF:D:DwightYokam:FastAsYou,Fast As You,Dwight Yoakam,7,FULL,Country Rock,,false
DEF:D:DwightYokam:LittleSister,Little Sister,Dwight Yoakam,7,FULL,Country Rock,,false
DEF:E:Eagles:ICantTellYouWhy,I Can't Tell You Why,Eagles,3,FULL,Soft Rock,,false
DEF:E:Eagles:LoveWillKeepUsAlive,Love Will Keep Us Alive,Eagles,3,FULL,Soft Rock,Ballad,false
DEF:E:Eagles:LyinEyes,Lyin' Eyes,Eagles,4,FULL,Country Rock,,false
DEF:E:EddieHolman:HeyThereLonelyGirl,Hey There Lonely Girl,Eddie Holman,3,FULL,Soul,Ballad,false
DEF:E:EddieMoney:ThinkImInLove,Think I'm In Love,Eddie Money,6,FULL,Rock,,false
DEF:E:EdwardBear:LastSong,Last Song,Edward Bear,3,FULL,Soft Rock,Ballad,false
DEF:E:EltonJohn:CrocodileRock,Crocodile Rock,Elton John,8,FULL,Rock,,true
DEF:E:EltonJohn:Daniel,Daniel,Elton John,3,FULL,Pop,Ballad,false
DEF:E:EltonJohn:RocketMan,Rocket Man,Elton John,4,FULL,Pop,,true
DEF:E:EltonJohn:TinyDancer,Tiny Dancer,Elton John,4,FULL,Pop,,true
DEF:E:Elvis:BurningLove,Burning Love,Elvis,7,FULL,Rock and Roll,,false
DEF:E:EnglandDanJohnFordColey:IdReallyLoveToSeeYouTonight,I'd Really Love To See You Tonight,England Dan / John Ford Coley,3,FULL,Soft Rock,Ballad,false
DEF:E:EricClapton:ChangeTheWorld,Change The World,Eric Clapton,3,FULL,Pop,Ballad,false
DEF:E:EricClapton:Cocaine,Cocaine,Eric Clapton,6,FULL,Rock,Blues Rock,false
DEF:E:EricClapton:IShotTheSheriff,I Shot the Sheriff,Eric Clapton,6,FULL,Reggae,,false
DEF:E:EricClapton:Layla,Layla,Eric Clapton,7,FULL,Rock,Blues Rock,true
DEF:E:EricClapton:NobodyKnowsYou,Nobody Knows You When You're Down And Out,Eric Clapton,3,FULL,Blues,,false
DEF:E:EricClapton:OverTheRainbow,Over the Rainbow,Eric Clapton,2,FULL,Ballad,,false
DEF:E:EricClapton:SanFranciscoBayBlues,San Francisco Bay Blues,Eric Clapton,5,FULL,Blues,Folk,false
DEF:E:EttaJames:DownhomeBlues,Downhome Blues,Etta James,5,FULL,Blues,,false
DEF:F:Firefall:YouAreTheWoman,You Are The Woman,Firefall,4,FULL,Soft Rock,,false
DEF:F:FleetwoodMac:DontStop,Don't Stop,Fleetwood Mac,7,FULL,Rock,Pop Rock,true
DEF:F:FleetwoodMac:GoYourOwnWay,Go Your Own Way,Fleetwood Mac,7,FULL,Rock,,true
DEF:F:FleetwoodMac:Landslide,Landslide,Fleetwood Mac,2,FULL,Folk Rock,Ballad,true
DEF:F:FleetwoodMac:Landslide-lyrics,Landslide,Fleetwood Mac,2,FULL,Folk Rock,Ballad,true
DEF:F:FleetwoodMac:SayThatYouLoveMe,Say That You Love Me,Fleetwood Mac,5,FULL,Rock,,false
DEF:F:FourNonBlondes:WhatsUp,What's Up,4 Non Blondes,6,FULL,Alternative,Pop Rock,true
GHI:G:GarthBrooks:MuchTooYoungToFeel,Much Too Young To Feel This Damnn Old,Garth Brooks,5,FULL,Country,,false
GHI:G:GeneCotton:BeforeMyHeartFindsOut,Before My Heart Finds Out,Gene Cotton,4,FULL,Soft Rock,,false
GHI:G:Genesis:InTooDeep,In Too Deep,Genesis,3,FULL,Pop,Ballad,false
GHI:G:Genesis:ThatsAll,That's All,Genesis,5,FULL,Pop Rock,,false
GHI:G:GeorgeHarrison:MySweetLord,My Sweet Lord,George Harrison,5,FULL,Rock,,true
GHI:G:GeorgeHarrison:Something,Something,George Harrison,3,FULL,Pop,Ballad,false
GHI:G:GeorgeHarrison:WhileMyGuitarGentlyWeeps,While My Guitar Gently Weeps,George Harrison,5,FULL,Rock,,false
GHI:G:GeorgeMichael:CarelessWhisper,Careless Whisper,George Michael,4,FULL,Pop,R&B,true
GHI:G:GeorgeMichael:Faith,Faith,George Michael,7,FULL,Pop,,true
GHI:G:GeorgeStrait:AsFarAsItGoes,As Far As It Goes,George Strait,4,FULL,Country,,false
GHI:G:GilbertOSullivan:GetDown,Get Down,Gilbert O'Sullivan,6,FULL,Pop,,false
GHI:G:GinBlossoms:TilIHearItFromYou,Til I Hear It From You,Gin Blossoms,6,FULL,Alternative,Pop Rock,false
GHI:G:GlennFrey:TheOneYouLove,The One You Love,Glenn Frey,3,FULL,Soft Rock,Ballad,false
GHI:G:GloriaGaynor:IWillSurvive,I Will Survive,Gloria Gaynor,8,FULL,Disco,,true
GHI:G:GordonLightfoot:CarefreeHighway,Carefree Highway,Gordon Lightfoot,4,FULL,Folk,,false
GHI:G:GratefulDead:FriendOfTheDevil,Friend of the Devil,Grateful Dead,4,FULL,Folk Rock,,false
GHI:G:GreenDay:GoodRiddance,Good Riddance (Time of Your Life),Green Day,3,FULL,Alternative,Punk,true
GHI:G:GregKihn:BreakupSong,Breakup Song,Greg Kihn,7,FULL,Rock,,false
GHI:G:GuessWho:Undun,Undun,Guess Who,5,FULL,Rock,,false
GHI:H:HalKetchum:HeartsAreGonnaRoll,Hearts Are Gonna Roll,Hal Ketchum,6,FULL,Country,,false
GHI:H:HalKetchum:PastThePointOfRescue,Past The Point Of Rescue,Hal Ketchum,3,FULL,Country,,false
GHI:H:HalKetchum:SmallTownSaturdayNight,Small Town Saturday Night,Hal Ketchum,6,FULL,Country,,false
GHI:H:HalKetchum:SofterThanAWhisper,Softer Than a Whisper,Hal Ketchum,3,FULL,Country,,false
GHI:H:HallAndOates:EverythingYourHeartDesires,Everything Your Heart Desires,Hall & Oates,5,FULL,Pop Rock,,false
GHI:H:HallAndOates:ICantGoForThat,I Can't Go For That,Hall & Oates,6,FULL,Pop,R&B,false
GHI:H:HallAndOates:RichGirl,Rich Girl,Hall & Oates,6,FULL,Pop,,false
GHI:H:HankWilliamsJr:AllMyRowdyFriends,All My Rowdy Friends Are Coming Over Tonight,Hank Williams Jr.,7,FULL,Country,,true
GHI:H:Heart:TellItLikeItIs,Tell It Like It Is,Heart,5,FULL,Rock,,false
GHI:H:Heatwave:AlwaysAndForever,Always and Forever,Heatwave,3,FULL,Soul,Ballad,false
GHI:H:HenryGross:Shannon,Shannon,Henry Gross,2,FULL,Pop,Ballad,false
GHI:H:Hollies:TheAirThatIBreathe,The Air That I Breathe,The Hollies,3,FULL,Pop,Ballad,false
GHI:H:Hooters:AndWeDanced,And We Danced,The Hooters,7,FULL,Rock,,false
GHI:H:HueyLewis:DoYouBelieveInLove,Do You Believe In Love,Huey Lewis and the News,7,FULL,Rock,Pop,false
GHI:H:HumanLeague:DontYouWantMe,Don't You Want Me,The Human League,7,FULL,Synth Pop,New Wave,true
GHI:I:INXS:NeedYouTonight,Need You Tonight,INXS,7,FULL,Rock,,true
JKL:J:JJCale:CallMeTheBreeze,Call Me The Breeze,J.J. Cale,5,FULL,Blues Rock,,false
JKL:J:JJCale:SensitiveKind,Sensitive Kind,JJ Cale,4,FULL,Blues Rock,,false
JKL:J:JacksonBrowne:RunningOnEmpty,Running On Empty,Jackson Brown,6,FULL,Rock,,false
JKL:J:JacksonBrowne:Stay,Stay,Jackson Browne,5,FULL,Rock,,false
JKL:J:JamesBrown:GetUp,Get Up,James Brown,7,FULL,Funk,,true
JKL:J:JasonMraz:ImYours,I'm Yours,Jason Mraz,5,FULL,Pop,Reggae,true
JKL:J:Jewel:WhoWillSaveMySoul,Who Will Save My Soul,Jewel,3,FULL,Folk,Singer-Songwriter,false
JKL:J:JimCroce:BadBadLeroyBrown,Bad Bad Leroy Brown,Jim Croce,6,FULL,Folk Rock,,true
JKL:J:JimCroce:YouDontMessAroundWithJim,You Don't Mess Around With Jim,Jim Croce,5,FULL,Folk Rock,,false
JKL:J:JoDeeMessina:ByeBye,Bye Bye,Jo Dee Messina,7,FULL,Country,,false
JKL:J:JoeCocker:FeelinAlright,Feelin' Alright,Joe Cocker,6,FULL,Rock,Soul,false
JKL:J:JoeCocker:TheLetter,The Letter,Joe Cocker,6,FULL,Rock,Soul,false
JKL:J:JoeCocker:UnchainMyHeart,Unchain My Heart,Joe Cocker,7,FULL,Rock,Soul,true
JKL:J:JoeCocker:UnchainMyHeartExtended,Unchain My Heart (Extended),Joe Cocker,7,FULL,Rock,Soul,true
JKL:J:JoeJackson:SteppinOut,Steppin' Out,Joe Jackson,6,FULL,Pop Rock,,false
JKL:J:JohnHiatt:MemphisInTheMeantime,Memphis in the Meantime,John Hiatt,6,FULL,Rock,Blues Rock,false
JKL:J:JohnLennon:BeautifulBoy,Beautiful Boy,John Lennon,2,FULL,Pop,Ballad,false
JKL:J:JohnLennon:JealousGuy,Jealous Guy,John Lennon,3,FULL,Pop,Ballad,false
JKL:J:JohnLennon:OhMyLove,Oh My Love,John Lennon,2,FULL,Pop,Ballad,false
JKL:J:JohnLennon:WatchingTheWheels,Watching The Wheels,John Lennon,3,FULL,Pop,,false
JKL:J:JohnLennon:Woman,Woman,John Lennon,3,FULL,Pop,Ballad,false
JKL:J:JohnMayer:ImGonnaFindAnotherYou,I’m Gonna Find Another You,John Mayer,5,FULL,Pop Rock,Blues Rock,false
JKL:J:JohnMellencamp:AintEvenDoneWithTheNight,Ain't Even Done With The Night,John Mellencamp,7,FULL,Rock,,false
JKL:J:JohnMellencamp:CherryBomb,Cherry Bomb,John Mellencamp,6,FULL,Rock,,false
JKL:J:JohnMellencamp:JackandDiane,Jack and Diane,John Mellencamp,6,FULL,Rock,,true
JKL:J:JohnMellencamp:ROCKInTheUSA,R.O.C.K. In The U.S.A,John Mellencamp,8,FULL,Rock,,true
JKL:J:JohnTravolta:LetHerIn,Let Her In,John Travolta,4,FULL,Pop,,false
JKL:J:JohnnyLee:LookingForLove,Looking for Love,Johnny Lee,6,FULL,Country,,false
JKL:J:JonPardi:DirtOnMyBoots,Dirt On My Boots,Jon Pardi,7,FULL,Country,,false
JKL:J:JonPardi:HeyCalifornia,Hey California,Jon Pardi,6,FULL,Country,,false
JKL:J:JordanDavis:TusconTooLate,Tuscon Too Late,Jordan Davis,4,FULL,Country,,false
JKL:J:JoshTurner:Jacksonville,Jacksonville,Josh Turner,4,FULL,Country,,false
JKL:J:JudyGarland:OverTheRainbow,Over the Rainbow,Judy Garland,2,FULL,Ballad,,false
JKL:K:KCSunshineBand:ShakeYourBooty,Shake Your Booty,KC & the Sunshine Band,9,FULL,Disco,,true
JKL:K:KTTunsall:BlackHorseAndTheCherryTree,Black Horse and the Cherry Tree,KT Tunstall,6,FULL,Folk Rock,,false
JKL:K:KTTunsall:SuddenlyISee,Suddenly I See,KT Tunstall,7,FULL,Rock,,false
JKL:K:KaceyMusgraves:GoldenHour,Golden Hour,Kasey Musgraves,3,FULL,Country,,false
JKL:K:KaceyMusgraves:Rainbow,Rainbow,Kacy Musgraves,2,FULL,Country,Ballad,false
JKL:K:KaceyMusgraves:SlowBurn,Slow Burn,Kacy Musgraves,3,FULL,Country,,false
JKL:K:KaneBrown:BuryMeInGeorgia,Bury Me In Georgia,Kane Brown,6,FULL,Country,,false
JKL:K:KaneBrown:OneMississippi,One Mississippi,Kane Brown,4,FULL,Country,,false
JKL:K:KeithCarradine:ImEasy,I'm Easy,Keith Carradine,2,FULL,Folk,Ballad,false
JKL:K:KeithUrban:TheFighter,The Fighter,Keith Urban,7,FULL,Country,,false
JKL:K:KeithUrban:TonightIWannaCry,Tonight I Wanna Cry,Keith Urban,3,FULL,Country,,false
JKL:K:KellyClarkson:Breakaway,Breakaway,Kelly Clarkson,7,FULL,Pop Rock,,true
JKL:K:KellyClarkson:SinceUBeenGone,Since U Been Gone,Kelly Clarkson,8,FULL,Pop Rock,,true
JKL:K:KennyChesney:EveryoneSheKnows,Everyone She Knows,Kenny Chesney,4,FULL,Country,,false
JKL:K:KingHarvest:DancinInTheMoonlight,Dancin' In The Moonlight,King Harvest,7,FULL,Pop Rock,,true
